interest_area,price_preference,trendiness,design_style,recipient,location,delivery_timeline,recommended_product
cooking,low,mainstream,professional,yourself,Singapore,7,pan
outdoor,high,non-mainstream,minimalist,siblings,USA,14,tent
baby,medium,mainstream,vintage,parents,Canada,3,baby stroller
automotive,high,mainstream,monochromatic,spouse,UK,5,car polish
apparel,low,non-mainstream,universal,friends,Australia,7,t-shirt
plush,medium,non-mainstream,caricature,colleagues,India,4,teddy bear
toys,high,mainstream,Chinese,children,China,14,lego set
pet-friendly,low,non-mainstream,Western,pets,Germany,7,dog food
kitchen,medium,mainstream,Asian,neighbors,Japan,5,blender
dancing,high,mainstream,cute,classmates,France,7,dancing shoes
