interest_area,price_preference,trendiness,design_style,recipient,location,delivery_timeline,recommended_product
cooking,low,mainstream,professional,yourself,France,3,pan
outdoor,high,non-mainstream,minimalist,siblings,Japan,7,lantern
baby,medium,mainstream,vintage,parents,China,14,baby stroller
automotive,high,mainstream,monochromatic,spouse,China,14,car vacuum
apparel,low,non-mainstream,universal,friends,USA,10,t-shirt
plush,medium,non-mainstream,caricature,colleagues,UK,5,plush elephant
toys,high,mainstream,Chinese,children,Australia,3,robot toy
pet-friendly,low,non-mainstream,Western,pets,Australia,7,fish food
kitchen,medium,mainstream,Asian,neighbors,Canada,5,coffee maker
dancing,high,mainstream,cute,classmates,Japan,3,salsa shoes
cooking,low,mainstream,professional,yourself,India,5,frying pan
outdoor,high,non-mainstream,minimalist,siblings,France,3,backpack
baby,medium,mainstream,vintage,parents,Australia,7,baby swing
automotive,high,mainstream,monochromatic,spouse,USA,14,car polish
apparel,low,non-mainstream,universal,friends,Canada,7,jeans
plush,medium,non-mainstream,caricature,colleagues,Singapore,5,plush lion
toys,high,mainstream,Chinese,children,Japan,14,toy truck
pet-friendly,low,non-mainstream,Western,pets,Australia,14,rabbit food
kitchen,medium,mainstream,Asian,neighbors,Japan,5,kettle
dancing,high,mainstream,cute,classmates,Singapore,10,ballet slippers
cooking,low,mainstream,professional,yourself,USA,7,frying pan
outdoor,high,non-mainstream,minimalist,siblings,UK,10,lantern
baby,medium,mainstream,vintage,parents,Canada,3,baby walker
automotive,high,mainstream,monochromatic,spouse,USA,14,car seat cover
apparel,low,non-mainstream,universal,friends,Germany,3,dress
plush,medium,non-mainstream,caricature,colleagues,USA,5,plush bear
toys,high,mainstream,Chinese,children,Japan,7,toy truck
pet-friendly,low,non-mainstream,Western,pets,Canada,3,rabbit food
kitchen,medium,mainstream,Asian,neighbors,China,10,food processor
dancing,high,mainstream,cute,classmates,China,14,tap shoes
cooking,low,mainstream,professional,yourself,France,10,pan
outdoor,high,non-mainstream,minimalist,siblings,Australia,5,lantern
baby,medium,mainstream,vintage,parents,Singapore,14,baby walker
automotive,high,mainstream,monochromatic,spouse,Germany,3,car seat cover
apparel,low,non-mainstream,universal,friends,India,7,t-shirt
plush,medium,non-mainstream,caricature,colleagues,Japan,5,plush elephant
toys,high,mainstream,Chinese,children,Canada,10,puzzle
pet-friendly,low,non-mainstream,Western,pets,France,14,cat food
kitchen,medium,mainstream,Asian,neighbors,China,14,rice cooker
dancing,high,mainstream,cute,classmates,Singapore,7,dancing shoes
cooking,low,mainstream,professional,yourself,France,7,cutting board
outdoor,high,non-mainstream,minimalist,siblings,India,14,tent
baby,medium,mainstream,vintage,parents,Canada,10,baby stroller
automotive,high,mainstream,monochromatic,spouse,UK,10,tire cleaner
apparel,low,non-mainstream,universal,friends,China,7,hoodie
plush,medium,non-mainstream,caricature,colleagues,France,3,plush elephant
toys,high,mainstream,Chinese,children,Canada,5,robot toy
pet-friendly,low,non-mainstream,Western,pets,Canada,14,fish food
kitchen,medium,mainstream,Asian,neighbors,Germany,14,coffee maker
dancing,high,mainstream,cute,classmates,Germany,10,dancing shoes
cooking,low,mainstream,professional,yourself,USA,10,blender
outdoor,high,non-mainstream,minimalist,siblings,China,3,tent
baby,medium,mainstream,vintage,parents,India,10,baby swing
automotive,high,mainstream,monochromatic,spouse,UK,10,car polish
apparel,low,non-mainstream,universal,friends,Australia,7,hoodie
plush,medium,non-mainstream,caricature,colleagues,Singapore,14,plush bear
toys,high,mainstream,Chinese,children,Singapore,3,puzzle
pet-friendly,low,non-mainstream,Western,pets,Australia,14,rabbit food
kitchen,medium,mainstream,Asian,neighbors,China,10,microwave
dancing,high,mainstream,cute,classmates,China,5,salsa shoes
cooking,low,mainstream,professional,yourself,UK,3,knife set
outdoor,high,non-mainstream,minimalist,siblings,Singapore,7,tent
baby,medium,mainstream,vintage,parents,Australia,10,baby bottle
automotive,high,mainstream,monochromatic,spouse,Australia,14,car polish
apparel,low,non-mainstream,universal,friends,India,10,jeans
plush,medium,non-mainstream,caricature,colleagues,Australia,10,plush tiger
toys,high,mainstream,Chinese,children,India,14,toy truck
pet-friendly,low,non-mainstream,Western,pets,France,7,bird food
kitchen,medium,mainstream,Asian,neighbors,Canada,3,microwave
dancing,high,mainstream,cute,classmates,UK,3,dancing shoes
cooking,low,mainstream,professional,yourself,Australia,5,cutting board
outdoor,high,non-mainstream,minimalist,siblings,UK,14,lantern
baby,medium,mainstream,vintage,parents,Singapore,14,baby walker
automotive,high,mainstream,monochromatic,spouse,France,10,car seat cover
apparel,low,non-mainstream,universal,friends,Australia,10,jacket
plush,medium,non-mainstream,caricature,colleagues,India,14,teddy bear
toys,high,mainstream,Chinese,children,Singapore,10,robot toy
pet-friendly,low,non-mainstream,Western,pets,UK,5,dog food
kitchen,medium,mainstream,Asian,neighbors,UK,5,coffee maker
dancing,high,mainstream,cute,classmates,France,10,salsa shoes
cooking,low,mainstream,professional,yourself,UK,10,knife set
outdoor,high,non-mainstream,minimalist,siblings,Australia,5,tent
baby,medium,mainstream,vintage,parents,Canada,3,baby crib
automotive,high,mainstream,monochromatic,spouse,Canada,3,car wax
apparel,low,non-mainstream,universal,friends,Japan,3,t-shirt
plush,medium,non-mainstream,caricature,colleagues,India,14,plush panda
toys,high,mainstream,Chinese,children,USA,10,action figure
pet-friendly,low,non-mainstream,Western,pets,Canada,14,dog food
kitchen,medium,mainstream,Asian,neighbors,India,7,food processor
dancing,high,mainstream,cute,classmates,Germany,14,ballet slippers
cooking,low,mainstream,professional,yourself,India,7,knife set
outdoor,high,non-mainstream,minimalist,siblings,Singapore,14,lantern
baby,medium,mainstream,vintage,parents,Germany,14,baby monitor
automotive,high,mainstream,monochromatic,spouse,Germany,5,car polish
apparel,low,non-mainstream,universal,friends,China,10,hoodie
plush,medium,non-mainstream,caricature,colleagues,Canada,5,plush lion
toys,high,mainstream,Chinese,children,Australia,10,robot toy
pet-friendly,low,non-mainstream,Western,pets,Australia,5,rabbit food
kitchen,medium,mainstream,Asian,neighbors,Japan,7,kettle
dancing,high,mainstream,cute,classmates,China,14,ballet slippers
cooking,low,mainstream,professional,yourself,India,5,knife set
outdoor,high,non-mainstream,minimalist,siblings,India,3,lantern
baby,medium,mainstream,vintage,parents,France,7,baby bottle
automotive,high,mainstream,monochromatic,spouse,UK,3,tire cleaner
apparel,low,non-mainstream,universal,friends,UK,3,hoodie
plush,medium,non-mainstream,caricature,colleagues,Australia,10,plush bear
toys,high,mainstream,Chinese,children,Canada,5,board game
pet-friendly,low,non-mainstream,Western,pets,UK,7,dog food
kitchen,medium,mainstream,Asian,neighbors,UK,7,coffee maker
dancing,high,mainstream,cute,classmates,Germany,14,dancing shoes
cooking,low,mainstream,professional,yourself,Singapore,10,pan
outdoor,high,non-mainstream,minimalist,siblings,USA,7,lantern
baby,medium,mainstream,vintage,parents,Australia,10,baby walker
automotive,high,mainstream,monochromatic,spouse,France,10,car seat cover
apparel,low,non-mainstream,universal,friends,Singapore,14,jeans
plush,medium,non-mainstream,caricature,colleagues,France,5,teddy bear
toys,high,mainstream,Chinese,children,Germany,10,lego set
pet-friendly,low,non-mainstream,Western,pets,China,14,fish food
kitchen,medium,mainstream,Asian,neighbors,Canada,7,food processor
dancing,high,mainstream,cute,classmates,China,7,tap shoes
cooking,low,mainstream,professional,yourself,Japan,10,knife set
outdoor,high,non-mainstream,minimalist,siblings,Singapore,5,tent
